mvo.vel_x,mvo.vel_y,mvo.vel_z,mvo.pos_x,mvo.pos_y,mvo.pos_z,imu.acc_x,imu.acc_y,imu.acc_z,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.q0,imu.q1,imu.q2, self.q3,imu.vg_x,imu.vg_y,imu.vg_z
0.370000,-0.230000,0.090000,-0.029260,0.364624,-1.484210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.370000,-0.230000,0.090000,-0.029260,0.364624,-1.484210,-0.002168,-0.014743,-0.976632,-0.033489,-0.031786,-0.000784,0.999908,-0.000816,-0.013543,-0.000704,0.067896,-0.037464,0.008660
0.370000,-0.230000,0.090000,-0.029260,0.364624,-1.484210,-0.002168,-0.014743,-0.976632,-0.033489,-0.031786,-0.000784,0.999908,-0.000816,-0.013543,-0.000704,0.067896,-0.037464,0.008660
0.370000,-0.230000,0.090000,-0.029260,0.364624,-1.484210,-0.024754,0.001297,-1.006639,0.020712,0.037805,-0.002900,0.999901,-0.000723,-0.014059,-0.000437,0.070408,-0.039016,0.009561
0.310000,-0.200000,0.140000,-0.032303,0.364060,-1.480281,-0.024754,0.001297,-1.006639,0.020712,0.037805,-0.002900,0.999901,-0.000723,-0.014059,-0.000437,0.070408,-0.039016,0.009561
0.310000,-0.200000,0.140000,-0.032303,0.364060,-1.480281,-0.009101,-0.020126,-0.981733,-0.017600,-0.000977,0.004342,0.999896,-0.000122,-0.014402,-0.000430,0.070116,-0.037476,0.018185
0.310000,-0.200000,0.140000,-0.032303,0.364060,-1.480281,-0.009101,-0.020126,-0.981733,-0.017600,-0.000977,0.004342,0.999896,-0.000122,-0.014402,-0.000430,0.070116,-0.037476,0.018185
0.310000,-0.200000,0.140000,-0.032303,0.364060,-1.480281,-0.013744,0.009526,-0.998340,-0.011056,0.045401,-0.003169,0.999906,-0.000321,-0.013728,-0.000543,0.069187,-0.036876,0.014667
0.310000,-0.200000,0.140000,-0.032303,0.364060,-1.480281,-0.013744,0.009526,-0.998340,-0.011056,0.045401,-0.003169,0.999906,-0.000321,-0.013728,-0.000543,0.069187,-0.036876,0.014667
0.320000,-0.200000,0.140000,-0.035427,0.364600,-1.477571,-0.013744,0.009526,-0.998340,-0.011056,0.045401,-0.003169,0.999906,-0.000321,-0.013728,-0.000543,0.069187,-0.036876,0.014667
0.320000,-0.200000,0.140000,-0.035427,0.364600,-1.477571,-0.017630,-0.004777,-1.011483,-0.018007,0.003000,-0.005383,0.999902,-0.000381,-0.013946,-0.000725,0.073392,-0.030304,0.007526
0.320000,-0.200000,0.140000,-0.035427,0.364600,-1.477571,-0.017630,-0.004777,-1.011483,-0.018007,0.003000,-0.005383,0.999902,-0.000381,-0.013946,-0.000725,0.073392,-0.030304,0.007526
0.320000,-0.200000,0.140000,-0.035427,0.364600,-1.477571,-0.000500,-0.022793,-1.016456,-0.004434,-0.011852,0.008751,0.999899,-0.001202,-0.014135,-0.000799,0.068078,-0.032594,0.006337
0.450000,-0.070000,0.060000,-0.032512,0.368946,-1.476447,-0.000500,-0.022793,-1.016456,-0.004434,-0.011852,0.008751,0.999899,-0.001202,-0.014135,-0.000799,0.068078,-0.032594,0.006337
0.450000,-0.070000,0.060000,-0.032512,0.368946,-1.476447,-0.011012,-0.011765,-0.985856,0.006224,-0.019884,0.000887,0.999888,-0.000993,-0.014894,-0.001073,0.070392,-0.030644,0.003541
0.450000,-0.070000,0.060000,-0.032512,0.368946,-1.476447,-0.011012,-0.011765,-0.985856,0.006224,-0.019884,0.000887,0.999888,-0.000993,-0.014894,-0.001073,0.070392,-0.030644,0.003541
0.450000,-0.070000,0.060000,-0.032512,0.368946,-1.476447,0.007393,-0.012420,-0.984901,-0.000443,0.025445,-0.009969,0.999890,-0.001100,-0.014743,-0.000935,0.081186,-0.028271,0.007548
0.510000,-0.090000,0.010000,-0.031672,0.371548,-1.476914,0.007393,-0.012420,-0.984901,-0.000443,0.025445,-0.009969,0.999890,-0.001100,-0.014743,-0.000935,0.081186,-0.028271,0.007548
0.510000,-0.090000,0.010000,-0.031672,0.371548,-1.476914,-0.017329,0.027494,-1.002596,-0.012867,0.036524,-0.021683,0.999909,-0.001700,-0.013300,-0.001492,0.081763,-0.021850,0.000594
0.510000,-0.090000,0.010000,-0.031672,0.371548,-1.476914,-0.017329,0.027494,-1.002596,-0.012867,0.036524,-0.021683,0.999909,-0.001700,-0.013300,-0.001492,0.081763,-0.021850,0.000594
0.510000,-0.090000,0.010000,-0.031672,0.371548,-1.476914,-0.012886,-0.001920,-0.995902,-0.021598,0.018807,0.002428,0.999913,-0.003501,-0.012651,-0.001545,0.079198,-0.020236,-0.001252
0.660000,-0.010000,-0.020000,-0.023295,0.377401,-1.479754,-0.012886,-0.001920,-0.995902,-0.021598,0.018807,0.002428,0.999913,-0.003501,-0.012651,-0.001545,0.079198,-0.020236,-0.001252
0.660000,-0.010000,-0.020000,-0.023295,0.377401,-1.479754,-0.032166,0.020963,-1.008855,0.003307,0.006335,-0.003629,0.999909,-0.004313,-0.012658,-0.001781,0.082672,-0.023336,0.003506
0.660000,-0.010000,-0.020000,-0.023295,0.377401,-1.479754,-0.032166,0.020963,-1.008855,0.003307,0.006335,-0.003629,0.999909,-0.004313,-0.012658,-0.001781,0.082672,-0.023336,0.003506
0.660000,-0.010000,-0.020000,-0.023295,0.377401,-1.479754,-0.006949,-0.011357,-0.990690,-0.011394,0.017964,0.011763,0.999914,-0.003710,-0.012462,-0.001659,0.085473,-0.019915,-0.001123
0.250000,-0.320000,-0.050000,-0.031743,0.371417,-1.482217,-0.006949,-0.011357,-0.990690,-0.011394,0.017964,0.011763,0.999914,-0.003710,-0.012462,-0.001659,0.085473,-0.019915,-0.001123
0.250000,-0.320000,-0.050000,-0.031743,0.371417,-1.482217,-0.030538,-0.023471,-1.001699,0.006487,0.035880,0.008509,0.999929,-0.004518,-0.010948,-0.001629,0.073271,-0.029032,0.003661
0.250000,-0.320000,-0.050000,-0.031743,0.371417,-1.482217,-0.030538,-0.023471,-1.001699,0.006487,0.035880,0.008509,0.999929,-0.004518,-0.010948,-0.001629,0.073271,-0.029032,0.003661
0.250000,-0.320000,-0.050000,-0.031743,0.371417,-1.482217,-0.012176,0.003923,-1.002538,0.019196,-0.048792,0.003710,0.999913,-0.003807,-0.012523,-0.001523,0.054426,-0.044870,0.005371
0.250000,-0.320000,-0.050000,-0.031743,0.371417,-1.482217,-0.012176,0.003923,-1.002538,0.019196,-0.048792,0.003710,0.999913,-0.003807,-0.012523,-0.001523,0.054426,-0.044870,0.005371
0.510000,-0.250000,-0.020000,-0.023925,0.374578,-1.484966,-0.012176,0.003923,-1.002538,0.019196,-0.048792,0.003710,0.999913,-0.003807,-0.012523,-0.001523,0.054426,-0.044870,0.005371
0.510000,-0.250000,-0.020000,-0.023925,0.374578,-1.484966,-0.024670,0.014620,-1.003668,0.034097,-0.017016,0.015050,0.999883,-0.000997,-0.015213,-0.001411,0.066464,-0.048138,0.003320
0.510000,-0.250000,-0.020000,-0.023925,0.374578,-1.484966,-0.024670,0.014620,-1.003668,0.034097,-0.017016,0.015050,0.999883,-0.000997,-0.015213,-0.001411,0.066464,-0.048138,0.003320
0.510000,-0.250000,-0.020000,-0.023925,0.374578,-1.484966,-0.001691,0.011604,-0.999307,-0.037083,-0.033669,0.005922,0.999899,0.000135,-0.014145,-0.001114,0.074915,-0.037845,-0.002674
0.510000,-0.250000,-0.020000,-0.023925,0.374578,-1.484966,-0.001691,0.011604,-0.999307,-0.037083,-0.033669,0.005922,0.999899,0.000135,-0.014145,-0.001114,0.074915,-0.037845,-0.002674
0.590000,-0.200000,-0.130000,-0.019982,0.373533,-1.489715,-0.001691,0.011604,-0.999307,-0.037083,-0.033669,0.005922,0.999899,0.000135,-0.014145,-0.001114,0.074915,-0.037845,-0.002674
0.590000,-0.200000,-0.130000,-0.019982,0.373533,-1.489715,-0.005855,-0.017321,-0.977169,-0.022659,0.029779,0.003326,0.999906,-0.000836,-0.013624,-0.001046,0.083361,-0.030816,-0.001072
0.590000,-0.200000,-0.130000,-0.019982,0.373533,-1.489715,-0.005855,-0.017321,-0.977169,-0.022659,0.029779,0.003326,0.999906,-0.000836,-0.013624,-0.001046,0.083361,-0.030816,-0.001072
