mvo.vel_x,mvo.vel_y,mvo.vel_z,mvo.pos_x,mvo.pos_y,mvo.pos_z,imu.acc_x,imu.acc_y,imu.acc_z,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.q0,imu.q1,imu.q2, self.q3,imu.vg_x,imu.vg_y,imu.vg_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004993,-0.002925,-0.000999,-0.993451,-0.009335,0.000891,0.002299,0.999909,-0.000048,-0.000288,0.013497,0.000000,0.000000,-0.048381
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004993,-0.002925,-0.000999,-0.993451,-0.009335,0.000891,0.002299,0.999909,-0.000048,-0.000288,0.013497,0.000000,0.000000,-0.048381
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004993,0.001680,0.005017,-0.995316,-0.005609,0.000714,0.001641,0.999909,-0.000037,-0.000261,0.013471,0.000000,0.000000,-0.051175
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004992,0.001680,0.005017,-0.995316,-0.005609,0.000714,0.001641,0.999909,-0.000037,-0.000261,0.013471,0.000000,0.000000,-0.051175
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004992,0.000427,0.000379,-0.989794,-0.003519,-0.000725,-0.002588,0.999909,-0.000017,-0.000286,0.013480,0.000000,0.000000,-0.052319
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004992,0.000427,0.000379,-0.989794,-0.003519,-0.000725,-0.002588,0.999909,-0.000017,-0.000286,0.013480,0.000000,0.000000,-0.052319
0.000000,0.000000,0.000000,0.015673,0.012427,-0.004992,-0.001226,0.002096,-0.999821,0.002248,-0.007619,0.000551,0.999909,0.000014,-0.000263,0.013494,0.000000,0.000000,-0.052394
0.000000,0.000000,0.000000,0.015673,0.012426,-0.004994,-0.001226,0.002096,-0.999821,0.002248,-0.007619,0.000551,0.999909,0.000014,-0.000263,0.013494,0.000000,0.000000,-0.052394
