mvo.vel_x,mvo.vel_y,mvo.vel_z,mvo.pos_x,mvo.pos_y,mvo.pos_z,imu.acc_x,imu.acc_y,imu.acc_z,imu.gyro_x,imu.gyro_y,imu.gyro_z,imu.q0,imu.q1,imu.q2, self.q3,imu.vg_x,imu.vg_y,imu.vg_z
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003623,-0.034622,-1.000573,-0.002425,0.012628,-0.000555,0.999838,0.017929,-0.001547,0.000304,0.000000,0.000000,-0.029376
0.000000,0.000000,0.000000,0.016007,0.012180,-0.004517,-0.003623,-0.034622,-1.000573,-0.002425,0.012628,-0.000555,0.999838,0.017929,-0.001547,0.000304,0.000000,0.000000,-0.029376
0.000000,0.000000,0.000000,0.016007,0.012180,-0.004517,-0.004182,-0.034084,-0.996500,-0.003892,0.011143,0.000514,0.999838,0.017932,-0.001540,0.000290,0.000000,0.000000,-0.037344
0.000000,0.000000,0.000000,0.016007,0.012180,-0.004517,-0.002475,-0.034675,-0.996795,-0.005472,0.009964,0.001130,0.999838,0.017918,-0.001545,0.000291,0.000000,0.000000,-0.032053
0.000000,0.000000,0.000000,0.016007,0.012180,-0.004517,-0.002475,-0.034675,-0.996795,-0.005472,0.009964,0.001130,0.999838,0.017918,-0.001545,0.000291,0.000000,0.000000,-0.032053
0.000000,0.000000,0.000000,0.016007,0.012180,-0.004517,-0.003411,-0.034780,-1.001782,0.000013,0.009789,0.001222,0.999838,0.017929,-0.001537,0.000315,0.000000,0.000000,-0.010941
0.000000,0.000000,0.000000,0.016007,0.012180,-0.004517,-0.003098,-0.036490,-1.000917,-0.003621,0.012126,-0.001700,0.999838,0.017920,-0.001535,0.000310,0.000000,0.000000,-0.018061
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004518,-0.003098,-0.036490,-1.000917,-0.003621,0.012126,-0.001700,0.999838,0.017920,-0.001535,0.000310,0.000000,0.000000,-0.018061
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004518,-0.004899,-0.035388,-0.998441,-0.003656,0.012448,-0.002063,0.999838,0.017937,-0.001523,0.000317,0.000000,0.000000,-0.003056
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004518,-0.003028,-0.035757,-1.000565,-0.001016,0.011201,-0.000642,0.999838,0.017947,-0.001546,0.000321,0.000000,0.000000,0.005198
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004516,-0.003028,-0.035757,-1.000565,-0.001016,0.011201,-0.000642,0.999838,0.017947,-0.001546,0.000321,0.000000,0.000000,0.005198
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004516,-0.003414,-0.034440,-0.997204,0.000369,0.010264,0.000101,0.999838,0.017951,-0.001556,0.000330,0.000000,0.000000,0.020959
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004516,-0.004652,-0.034601,-0.999105,-0.002341,0.011676,-0.000809,0.999837,0.017962,-0.001541,0.000312,0.000000,0.000000,0.026905
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004516,-0.004652,-0.034601,-0.999105,-0.002341,0.011676,-0.000809,0.999837,0.017962,-0.001541,0.000312,0.000000,0.000000,0.026905
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004516,-0.003526,-0.034323,-1.000831,0.001207,0.010605,0.000786,0.999837,0.017991,-0.001572,0.000327,0.000000,0.000000,0.030463
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004516,-0.004738,-0.034827,-1.000939,-0.000739,0.013236,0.000563,0.999837,0.017972,-0.001574,0.000331,0.000000,0.000000,0.021909
0.000000,0.000000,0.000000,0.016007,0.012182,-0.004515,-0.004738,-0.034827,-1.000939,-0.000739,0.013236,0.000563,0.999837,0.017972,-0.001574,0.000331,0.000000,0.000000,0.021909
0.000000,0.000000,0.000000,0.016007,0.012182,-0.004515,-0.002782,-0.033825,-0.997200,-0.003186,0.009885,-0.000323,0.999838,0.017948,-0.001593,0.000337,0.000000,0.000000,0.024923
0.000000,0.000000,0.000000,0.016007,0.012182,-0.004515,-0.003985,-0.034849,-0.998645,-0.002392,0.010921,-0.000292,0.999838,0.017944,-0.001583,0.000322,0.000000,0.000000,0.032055
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004515,-0.003985,-0.034849,-0.998645,-0.002392,0.010921,-0.000292,0.999838,0.017944,-0.001583,0.000322,0.000000,0.000000,0.032055
0.000000,0.000000,0.000000,0.016007,0.012181,-0.004515,-0.002192,-0.036210,-0.997038,-0.001880,0.012561,-0.001311,0.999837,0.017969,-0.001598,0.000310,0.000000,0.000000,0.037715
